Rank,Model,MAE,RMSE,R2 Score
1,Linear Regression,1.0903879724965382,1.5668580605540536,0.9959074469339202
2,XGBoost,11.465118710776128,17.896981628021443,0.4660573757084424
3,Random Forest,11.669877709269144,18.185025124553956,0.4487319559787789
4,Decision Tree,12.372048466880754,18.66626969974402,0.4191686086243368
